run_id,victory,difficulty,character,duration,nb_stages,nb_curses,nb_rooms,nb_rooms_cleared,clear_rate,avg_clear_duration,nb_room_types,nb_bosses,nb_monsters,avg_monster_hp,final_damage,final_fire_delay,final_shot_speed,final_tear_range,final_move_speed,final_luck,final_hearts,final_coins,final_bombs,final_keys,total_damage_taken,delta_damage,delta_luck,delta_move_speed,dps_proxy,nb_passive_items,avg_passive_quality,total_passive_quality,nb_active_items,avg_active_quality,nb_trinkets,avg_trinket_quality,rooms_per_frame,raw_score,score,rank,grade,anomaly,anomaly_label,cluster,cluster_label
41,0,0,0,197270,9,64,117,115,0.9829059829059829,335.008547008547,10,13,252,43.51996825396826,53.88,26.073,0.944,416,1.3,3,4,60,5,7,9.0,44.83,3,0.30000000000000004,2.06650558048556,25,1.8468255841397214,7825.0,1,0.0,4,0.0,0.000582957368074213,59.63374087850575,53.97,1,C,-1,⚡ Exceptionnelle,3,🏆 Elite
21,0,0,0,93920,8,0,70,69,0.9857142857142858,396.9142857142857,7,20,143,23.37062937062937,3.5,6.4,1.2,460,1.0,2,3,26,11,6,4.0,0.0,2,0.0,0.546875,12,1.5621662852784135,2048.0,1,0.0,2,0.0,0.0007346678023850085,43.633524531262935,39.49,2,D,1,Normal,0,⭐ Solide
40,0,0,0,170226,7,64,93,92,0.989247311827957,745.6774193548387,8,11,229,28.670611353711788,6.45368,10.0,1.43,260,1.6,0,1,44,7,12,4.0,2.9536800000000003,0,0.6000000000000001,0.645368,14,1.882476390346275,3588.0,1,0.0,2,0.0,0.0005404579793921023,38.244671262967,34.61,3,D,-1,⚡ Exceptionnelle,0,⭐ Solide
39,0,0,0,54168,4,0,49,48,0.9795918367346939,462.53061224489795,7,10,119,38.547478991596634,7.28807,10.0,1.0,320,1.2,0,2,32,5,5,3.0,3.7880700000000003,0,0.19999999999999996,0.728807,8,2.140740740740741,1445.0,1,0.0,2,0.0,0.0008861320336730173,35.78459317694553,32.38,4,D,1,Normal,2,📈 Moyenne
22,0,0,0,88544,5,0,59,58,0.9830508474576272,554.9830508474577,4,5,169,26.08284023668639,3.5,7.04878,1.32,360,1.2,2,1,12,8,2,6.0,0.0,2,0.19999999999999996,0.496539826750161,12,1.4835164835164836,1755.0,1,0.0,2,0.0,0.0006550415612576799,34.38701536381484,31.12,5,D,1,Normal,0,⭐ Solide
37,0,0,0,4856,1,0,6,5,0.8333333333333334,138.0,3,1,10,29.3,3.5,10.0,1.0,320,1.0,0,5,1,4,4,1.0,0.0,0,0.0,0.35,2,1.3125,21.0,1,0.0,0,0.0,0.001029654036243822,28.960381629548834,26.21,6,D,1,Normal,1,💀 Difficile
24,0,0,0,11616,2,0,10,9,0.9,727.0,3,2,31,14.838709677419354,3.5,10.0,1.0,260,1.0,1,5,9,1,2,3.0,0.0,1,0.0,0.35,2,0.47619047619047616,10.0,1,0.0,0,0.0,0.0007747933884297521,27.505698748768445,24.89,7,D,1,Normal,1,💀 Difficile
3,0,0,0,8854,1,0,10,9,0.9,520.0,4,2,19,16.526315789473685,3.5,10.0,1.0,260,1.0,0,6,1,3,0,1.0,0.0,0,0.0,0.35,2,0.0,0.0,1,0.0,0,0.0,0.0010164897221594759,27.32669501536751,24.73,8,D,1,Normal,1,💀 Difficile
33,0,0,0,15764,2,0,8,7,0.875,1241.0,3,8,34,13.852941176470589,3.5,10.0,1.0,410,1.0,0,6,0,1,0,2.0,0.0,0,0.0,0.35,1,1.0,3.0,0,0.0,0,0.0,0.0004440497335701599,26.7398128342279,24.2,9,D,1,Normal,1,💀 Difficile
36,0,0,0,23212,2,0,20,19,0.95,683.0,4,10,49,17.510204081632654,3.5,10.0,1.0,260,1.3,0,3,2,2,2,3.0,0.0,0,0.30000000000000004,0.35,3,0.4084507042253521,29.0,1,0.0,0,0.0,0.0008185421333792866,26.534622303652387,24.01,10,D,1,Normal,2,📈 Moyenne
31,0,0,0,15022,2,0,17,16,0.9411764705882353,401.52941176470586,4,2,38,11.210526315789474,3.5,8.29286,1.2,260,1.0,0,1,3,0,1,3.0,0.0,0,0.0,0.4220498115246128,3,3.0,162.0,0,0.0,1,0.0,0.0010651045133803754,26.163608963144437,23.68,11,D,1,Normal,2,📈 Moyenne
16,0,0,0,17574,2,0,11,10,0.9090909090909091,1068.1818181818182,2,2,26,19.0,3.5,10.0,1.0,260,1.0,1,5,1,0,3,3.0,0.0,1,0.0,0.35,1,1.0,9.0,0,0.0,0,0.0,0.0005690224194833276,25.475972877109978,23.06,12,D,1,Normal,1,💀 Difficile
14,0,0,0,178378,3,0,21,20,0.9523809523809523,706.4761904761905,3,10,37,29.783783783783782,3.675,6.27428,1.0,260,1.1,0,1,2,6,4,5.0,0.17499999999999982,0,0.10000000000000009,0.5857245771626386,5,1.411764705882353,144.0,1,0.0,1,0.0,0.00011212144995459082,24.402606715756036,22.08,13,D,1,Normal,2,📈 Moyenne
26,0,0,0,9912,1,0,5,4,0.8,693.2,2,1,17,24.764705882352942,3.5,10.0,1.0,260,1.0,0,6,1,1,1,0.0,0.0,0,0.0,0.35,0,0.0,0.0,0,0.0,0,0.0,0.0004035512510088781,23.341643274396233,21.12,14,D,1,Normal,1,💀 Difficile
38,0,0,0,748688,1,0,7,6,0.8571428571428571,294.57142857142856,3,8,13,18.923076923076923,3.5,10.0,1.0,260,1.0,0,5,0,1,0,3.0,0.0,0,0.0,0.35,2,0.9090909090909091,20.0,1,0.0,0,0.0,8.014019190904623e-06,23.31950103210761,21.1,15,D,1,Normal,1,💀 Difficile
13,0,0,0,7404,1,0,7,6,0.8571428571428571,582.0,3,1,10,12.0,3.5,10.0,1.0,260,1.0,0,4,1,1,2,2.0,0.0,0,0.0,0.35,1,0.0,0.0,1,0.0,0,0.0,0.0008103727714748784,23.315192807423557,21.1,15,D,1,Normal,1,💀 Difficile
18,0,0,0,3878,1,0,5,4,0.8,196.4,2,1,7,49.0,3.5,10.0,1.0,260,1.0,0,5,0,1,2,1.0,0.0,0,0.0,0.35,0,0.0,0.0,0,0.0,0,0.0,0.0010314595152140279,23.30941698752423,21.09,17,D,1,Normal,1,💀 Difficile
32,0,0,0,24920,2,0,21,20,0.9523809523809523,716.8571428571429,4,1,44,10.931818181818182,4.08167,10.0,1.0,260,1.0,0,1,7,2,2,3.0,0.5816699999999999,0,0.0,0.408167,2,2.0,70.0,0,0.0,0,0.0,0.0008025682182985554,23.104971760474385,20.91,18,D,1,Normal,2,📈 Moyenne
25,0,0,0,15746,2,0,12,11,0.9166666666666666,855.3333333333334,3,2,32,12.051874999999999,3.5,8.29286,1.2,260,1.0,0,1,4,2,1,4.0,0.0,0,0.0,0.4220498115246128,2,2.324324324324324,86.0,0,0.0,1,0.0,0.0006985901181252381,22.96951869821579,20.79,19,D,1,Normal,2,📈 Moyenne
28,0,0,0,6658,1,0,6,5,0.8333333333333334,533.0,3,1,15,28.0,3.5,10.0,1.0,260,1.0,0,4,1,2,0,2.0,0.0,0,0.0,0.35,1,0.0,0.0,1,0.0,0,0.0,0.0007509762691498949,22.92646650615009,20.75,20,D,1,Normal,1,💀 Difficile
9,0,0,0,1092,1,0,2,1,0.5,0.0,1,0,6,5.0,3.5,10.0,1.0,260,1.0,0,6,0,1,0,0.0,0.0,0,0.0,0.35,0,0.0,0.0,0,0.0,0,0.0,0.0009157509157509158,22.800249780884098,20.63,21,D,1,Normal,1,💀 Difficile
2,0,0,0,13522,2,32,11,10,0.9090909090909091,643.2727272727273,5,1,25,17.66,2.8,10.0,1.0,260,1.0,0,3,0,0,0,5.0,-0.7000000000000002,0,0.0,0.27999999999999997,3,1.945945945945946,144.0,1,0.0,0,0.0,0.0007395355716609969,22.14973288590851,20.05,22,D,1,Normal,2,📈 Moyenne
